iter	Passed	Remaining
949	2797	147
950	2800	144
951	2803	141
952	2807	138
953	2809	135
954	2812	132
955	2815	129
956	2817	126
957	2820	123
958	2822	120
959	2825	117
960	2828	114
961	2831	111
962	2833	108
963	2836	105
964	2840	103
965	2842	100
966	2845	97
967	2848	94
968	2850	91
969	2853	88
970	2857	85
971	2859	82
972	2862	79
973	2865	76
974	2868	73
975	2870	70
976	2873	67
977	2876	64
978	2879	61
979	2882	58
980	2885	55
981	2887	52
982	2890	49
983	2893	47
984	2896	44
985	2899	41
986	2901	38
987	2904	35
988	2907	32
989	2909	29
990	2912	26
991	2915	23
992	2917	20
993	2920	17
994	2923	14
995	2925	11
996	2928	8
997	2931	5
998	2933	2
999	2936	0
